show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s4971,Movie,"Game Over, Man!",Kyle Newacheck,"Adam DeVine, Anders Holm, Blake Anderson, Utkarsh Ambudkar, Aya Cash, Neal McDonough, Daniel Stern, Jamie Demetriou, Rhona Mitra, Sam Richardson, Steve Howey, Mac Brandt, Geno Segers, Roe Hartrampf",United States,"March 23, 2018",2018,TV-MA,102 min,"Action & Adventure, Comedies",Three buddies with big dreams go from underachieving slackers to badass warriors when their posh hotel is taken over by terrorists.
s3363,Movie,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,Arsenio Hall,United States,"October 29, 2019",2019,TV-MA,63 min,Stand-Up Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes."
s5495,TV Show,Kazoops!,,"Reece Pockney, Scott Langley, Alex Babic, Gemma Harvey, Jessica Hann, Emma Tate",Australia,"May 5, 2017",2017,TV-Y,3 Seasons,Kids' TV,Music meets imagination in this inventive animated series about thinking outside the box and having fun.
s1689,TV Show,We Are the Champions,,,United States,"November 17, 2020",2020,TV-MA,1 Season,"Docuseries, Reality TV","Explore an array of unique competitions, from the quirky to the bizarre, and meet their passionate communities in this docuseries."
s1350,TV Show,"Pablo Escobar, el patrón del mal",,"Andrés Parra, Angie Cepeda, Cecilia Navia, Vicky Hernández, Christian Tappan, Rodolfo Silva, Tommy Vásquez, Toto Vega, Nicolás Montero, Marcela Gallego",Colombia,"February 3, 2021",2012,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar."
s4863,TV Show,Saint Seiya: The Lost Canvas,,"Tetsuya Kakihara, Hiro Shimono, Aya Hirano, Atsushi Abe, Sanae Kobayashi, Kenta Miyake, Tomohiro Tsuboi, Nana Mizuki, Shigeru Chiba",Japan,"May 15, 2018",2009,TV-MA,1 Season,"Anime Series, International TV Shows",This anime adventure follows the battle between a saint of Athena and an avatar of Hades who's working on a painting that could destroy the world.
s2677,TV Show,Fauda,,"Lior Raz, Hisham Suliman, Shadi Mar'i, Laëtitia Eïdo, Tsahi Halevi, Yuval Segal, Neta Garty, Tomer Kapon, Itzik Cohen, Rona-Lee Shim'on, Boaz Konforty, Doron Ben-David",Israel,"April 16, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion."
s488,TV Show,The Cook of Castamar,,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Óscar Rabadán, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, Mónica López",,"July 9, 2021",2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez."
s1672,Movie,The App That Stole Christmas,Monica Floyd,"Jackie Long, Diane Marie Howard, Jaylin Hall, Miguel A. Núñez Jr., Ray J, JayQ The Legend, J. Anthony Brown, Kenny Rhodes, Amber Cosich",United States,"November 20, 2020",2020,TV-PG,64 min,"Children & Family Movies, Comedies","A tech entrepreneur's Christmas shopping app is a smashing success, but he starts to realize his invention might be ruining the holiday spirit."
s5029,Movie,Mute,Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux","United Kingdom, Germany","February 23, 2018",2018,TV-MA,127 min,"Sci-Fi & Fantasy, Thrillers","When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words."
